	B	D	L	E
B	0.0000E+4	2.3551E-2	9.7645E-1	0.0000E+4
D	0.0000E+4	1.0212E-1	8.9788E-1	0.0000E+4
L	0.0000E+4	2.7793E-2	8.5177E-1	1.2044E-1
E	0.0000E+4	0.0000E+4	0.0000E+4	0.0000E+4
